"Id" "Name" "Lon" "Lat"
425 "castellon|castellondelaplana/castellodelaplana" -0.03688142 39.98640809
426 "castellon|chilches/xilxes" -0.18778601 39.78206194
427 "castellon|eltoro" -0.74876092 39.98272386
428 "castellon|jerica" -0.57174676 39.91126253
429 "castellon|lallosa" -0.20470723 39.76840044
430 "castellon|lavalld'uixo" -0.22806489 39.82421754
431 "castellon|lavilavella" -0.18452121 39.85888468
432 "castellon|lesalqueries/alqueriasdelninoperdido" -0.11078598 39.89489234
433 "castellon|nules" -0.15473206 39.85312121
434 "castellon|oropesadelmar/orpesa" 0.13408474 40.0923667
435 "castellon|peniscola/peniscola" 0.39073946 40.36733259
436 "castellon|santamagdalenadepulpis" 0.30271381 40.35690758
437 "castellon|segorbe" -0.48807966 39.85236626
438 "castellon|torreblanca" 0.19581098 40.22098739
439 "castellon|vila-real" -0.1007625 39.93814957
440 "castellon|vinaros" 0.47487433 40.47092595
441 "castellon|viver" -0.59696347 39.92142681
442 "ciudadreal|alamillo" -4.79003492 38.67690477
443 "ciudadreal|alcazardesanjuan" -3.20565748 39.38878541
444 "ciudadreal|aldeadelrey" -3.83953334 38.74165629
445 "ciudadreal|alhambra" -3.05432597 38.89965302
446 "ciudadreal|almagro" -3.71155855 38.88984134
447 "ciudadreal|almodovardelcampo" -4.17902225 38.70989004
448 "ciudadreal|almuradiel" -3.49679815 38.5142644
449 "ciudadreal|arenasdesanjuan" -3.50172696 39.21983601
450 "ciudadreal|argamasilladealba" -3.09152014 39.12851546
451 "ciudadreal|argamasilladecalatrava" -4.08095292 38.7275086
452 "ciudadreal|bolanosdecalatrava" -3.66616343 38.90587865
453 "ciudadreal|brazatortas" -4.29252775 38.65822758
454 "ciudadreal|calzadadecalatrava" -3.7769987 38.70469055
455 "ciudadreal|campodecriptana" -3.12614279 39.4055688
456 "ciudadreal|caracueldecalatrava" -4.06372553 38.84571452
457 "ciudadreal|carriondecalatrava" -3.81796049 39.01845534
458 "ciudadreal|ciudadreal" -3.93131981 38.98651781
459 "ciudadreal|corraldecalatrava" -4.08120532 38.85862031
460 "ciudadreal|cozar" -3.07369013 38.66083487
461 "ciudadreal|daimiel" -3.61161625 39.06747719
462 "ciudadreal|elrobledo" -4.27900441 39.21930652
463 "ciudadreal|fernancaballero" -3.90131142 39.12372035
464 "ciudadreal|fuencaliente" -4.30518482 38.40486189
465 "ciudadreal|fuenllana" -2.95811796 38.75592383
466 "ciudadreal|fuenteelfresno" -3.77465247 39.23050771
467 "ciudadreal|granatuladecalatrava" -3.74286214 38.79547783
468 "ciudadreal|herencia" -3.35534568 39.36679903
469 "ciudadreal|laslabores" -3.51776907 39.27473207
470 "ciudadreal|lasolana" -3.23898186 38.94132419
471 "ciudadreal|llanosdelcaudillo" -3.35120326 39.11811103
472 "ciudadreal|malagon" -3.85557682 39.16821801
473 "ciudadreal|manzanares" -3.37024316 38.99820392
474 "ciudadreal|membrilla" -3.34529089 38.97259816
475 "ciudadreal|miguelturra" -3.89063679 38.96475807
476 "ciudadreal|montiel" -2.86213161 38.69637216
477 "ciudadreal|moraldecalatrava" -3.58308095 38.8297258
478 "ciudadreal|pedromunoz" -2.94669146 39.4029225
479 "ciudadreal|poblete" -3.98084285 38.93565023
480 "ciudadreal|porzuna" -4.15328643 39.14628049
481 "ciudadreal|pozuelodecalatrava" -3.83749836 38.9119853
482 "ciudadreal|puertolapice" -3.48100978 39.32444858
483 "ciudadreal|puertollano" -4.11252413 38.68621065
484 "ciudadreal|ruidera" -2.88467603 38.97575422
485 "ciudadreal|santacruzdemudela" -3.46781854 38.64460444
486 "ciudadreal|socuellamos" -2.79256795 39.28470716
487 "ciudadreal|tomelloso" -3.02095446 39.158286
488 "ciudadreal|torralbadecalatrava" -3.74921695 39.01711449
489 "ciudadreal|torrenueva" -3.36552781 38.64046216
490 "ciudadreal|valdepenas" -3.38512716 38.76025481
491 "ciudadreal|valenzueladecalatrava" -3.7722701 38.85296015
492 "ciudadreal|villahermosa" -2.87238389 38.75045431
493 "ciudadreal|villanuevadelafuente" -2.69540307 38.69245173
494 "ciudadreal|villanuevadelosinfantes" -3.01508514 38.73700614
495 "ciudadreal|villarrubiadelosojos" -3.60771898 39.21933236
496 "ciudadreal|villartadesanjuan" -3.42248385 39.23817138
497 "cordoba|aguilardelafrontera" -4.66061547 37.52004219
498 "cordoba|almedinilla" -4.09001992 37.43947257
499 "cordoba|baena" -4.32895878 37.61318847
500 "cordoba|belalcazar" -5.16635159 38.57840844
501 "cordoba|belmez" -5.20945663 38.2732496
502 "cordoba|benameji" -4.53987316 37.26716339
503 "cordoba|cabra" -4.44656669 37.47101586
504 "cordoba|cardena" -4.32426689 38.27037293
505 "cordoba|castrodelrio" -4.48168693 37.69040121
506 "cordoba|cordoba" -4.78032455 37.87954225
507 "cordoba|donamencia" -4.3594167 37.55542058
508 "cordoba|elcarpio" -4.49948242 37.94050285
509 "cordoba|espiel" -5.01731472 38.18906775
510 "cordoba|fernan-nunez" -4.71932943 37.66833878
511 "cordoba|fuente-tojar" -4.14651434 37.50974593
