"id" "Name" "Lon" "Lat"
520 "altoaraguaia,mt" -53.215 -17.315
521 "santaritadoaraguaia,go" -53.205 -17.326
522 "mineiros,go" -52.551 -17.569
523 "novaolimpia,mt" -57.288 -14.797
524 "barradobugres,mt" -57.181 -15.073
525 "bandeirantes,ms" -54.364 -19.918
526 "rioverdedematogrosso,ms" -54.844 -18.918
527 "campoverde,mt" -55.169 -15.547
528 "primaveradoleste,mt" -54.346 -15.528
529 "itapuadooeste,ro" -63.18 -9.205
530 "ipora,go" -51.118 -16.442
531 "piranhas,go" -51.822 -16.427
532 "barradogarcas,mt" -52.257 -15.89
533 "guarulhos,sp" -46.533 -23.463
534 "cacapava,sp" -45.707 -23.101
535 "itatiaia,rj" -44.563 -22.496
536 "presidenteepitacio,sp" -52.116 -21.763
537 "presidentevenceslau,sp" -51.844 -21.876
538 "resende,rj" -44.447 -22.469
539 "erechim,rs" -52.274 -27.634
540 "aratiba,rs" -52.3 -27.394
541 "ita,sc" -52.323 -27.291
542 "floriano,pi" -43.023 -6.767
543 "caninde,ce" -39.312 -4.359
544 "boaviagem,ce" -39.732 -5.128
545 "nazaredopiaui,pi" -42.672 -6.973
546 "oeiras,pi" -42.131 -7.025
547 "antoninadonorte,ce" -39.989 -6.775
548 "campossales,ce" -40.376 -7.074
549 "jaguaribe,ce" -38.622 -5.891
550 "fronteiras,pi" -40.616 -7.088
551 "barbalha,ce" -39.302 -7.305
552 "barro,ce" -38.782 -7.177
553 "catoledorocha,pb" -37.747 -6.344
554 "brejodocruz,pb" -37.498 -6.349
555 "jerico,pb" -37.809 -6.554
556 "jardimdepiranhas,rn" -37.352 -6.379
557 "milagres,ce" -38.946 -7.313
558 "crateus,ce" -40.678 -5.178
559 "novooriente,ce" -40.774 -5.534
560 "parambu,ce" -40.694 -6.211
561 "jaicos,pi" -41.138 -7.359
562 "patosdopiaui,pi" -41.244 -7.668
563 "paulistana,pi" -41.15 -8.144
564 "jacobinadopiaui,pi" -41.21 -7.935
565 "acaua,pi" -41.082 -8.215
566 "afranio,pe" -41.005 -8.515
567 "exu,pe" -39.724 -7.512
568 "taua,ce" -40.293 -6.003
569 "riachaodojacuipe,ba" -39.382 -11.81
570 "casanova,ba" -40.971 -9.162
571 "remanso,ba" -42.081 -9.622
572 "saolourencodopiaui,pi" -42.545 -9.169
573 "ubata,ba" -39.523 -14.214
574 "ribeiraopreto,sp" -47.81 -21.178
575 "santana,ba" -44.051 -12.983
576 "montalvania,mg" -44.366 -14.423
577 "janauba,mg" -43.309 -15.803
578 "coronelfabriciano,mg" -42.629 -19.519
579 "novaera,mg" -43.038 -19.75
580 "bomdespacho,mg" -45.252 -19.736
581 "luz,mg" -45.686 -19.801
582 "catalao,go" -47.942 -18.17
583 "ipameri,go" -48.16 -17.722
584 "ibia,mg" -46.539 -19.478
585 "patrocinio,mg" -46.993 -18.944
586 "montecarmelo,mg" -47.499 -18.725
587 "piresdorio,go" -48.28 -17.301
588 "carmodoparanaiba,mg" -46.316 -19.001
589 "lagoaformosa,mg" -46.408 -18.779
590 "patosdeminas,mg" -46.518 -18.579
591 "araxa,mg" -46.941 -19.593
592 "uberaba,mg" -47.932 -19.748
593 "itaobim,mg" -41.503 -16.562
594 "ituiutaba,mg" -49.465 -18.969
595 "guaira,sp" -48.311 -20.318
596 "itagimirim,ba" -39.614 -16.087
597 "jequitinhonha,mg" -41.003 -16.434
598 "almenara,mg" -40.694 -16.184
599 "pedraazul,mg" -41.297 -16.005
600 "divinopolis,mg" -44.884 -20.139
601 "marilia,sp" -49.946 -22.214
602 "passos,mg" -46.61 -20.719
603 "bauru,sp" -49.061 -22.315
604 "jau,sp" -48.558 -22.296
605 "pirajui,sp" -49.457 -21.999
606 "pederneiras,sp" -48.775 -22.352
607 "saocarlos,sp" -47.891 -22.018
608 "espinosa,mg" -42.819 -14.926
609 "porteirinha,mg" -43.028 -15.743
610 "montesclaros,mg" -43.862 -16.735
611 "corinto,mg" -44.456 -18.381
612 "curvelo,mg" -44.431 -18.756
613 "paraopeba,mg" -44.404 -19.274
614 "bocaiuva,mg" -43.815 -17.108
615 "buenopolis,mg" -44.18 -17.873
616 "contagem,mg" -44.054 -19.932
617 "cacule,ba" -42.222 -14.503
